,high_standard_deviation,low_standard_deviation,negative_skewness,normal_standard_deviation,positive_skewness,x,zero_snewness
687,0.06421193091890659,4.601951113323613e-13,5.9704328048808664e-06,0.0342722558577016,0.06853854128259831,3.753753753753754,0.0342722558577016
688,0.06391024129311888,3.40443115861295e-13,5.40802156015171e-06,0.03363268975130364,0.06725997148104712,3.773773773773774,0.03363268975130364
689,0.06360837569389044,2.5144954235924503e-13,4.896235557467308e-06,0.03300175185224065,0.06599860746892383,3.7937937937937942,0.03300175185224065
690,0.06330635003999871,1.8542183700453068e-13,4.430751696700795e-06,0.032379405546327525,0.06475438034095835,3.8138138138138142,0.032379405546327525
691,0.0630041801868339,1.3651319974357762e-13,4.007593578267634e-06,0.03176561234990508,0.0635272171062319,3.8338338338338342,0.03176561234990508
692,0.06270188192511505,1.0034417116846388e-13,3.6231057793715027e-06,0.03116033196037068,0.062317040814962,3.8538538538538543,0.03116033196037068
693,0.062399470979620245,7.36399340580552e-14,3.2739298533547775e-06,0.03056352230665598,0.06112377068345861,3.8738738738738743,0.03056352230665598
694,0.062096963007931175,5.3955828897713535e-14,2.956981952663511e-06,0.02997513959962295,0.059947322217293236,3.8938938938938943,0.02997513959962295
695,0.0617943735991922,3.9469996113520746e-14,2.669431980351817e-06,0.029395138382349573,0.058787607332718796,3.9139139139139143,0.029395138382349573
696,0.0614917182728839,2.8827005799672286e-14,2.4086841793811714e-06,0.028823471580277392,0.0576445344763754,3.9339339339339343,0.028823471580277392
697,0.061189012477611215,2.1020145812902215e-14,2.172359073206944e-06,0.028260090551193832,0.05651800874331445,3.9539539539539543,0.028260090551193832
698,0.06088627158990657,1.530296729770844e-14,1.9582766752801872e-06,0.027704945135022575,0.055407931993369866,3.9739739739739743,0.027704945135022575
699,0.060583510913047624,1.1122932789874497e-14,1.7644408891205148e-06,0.02715798370339627,0.05431420296590342,3.9939939939939944,0.02715798370339627
700,0.06028074567589027,8.071731608951402e-15,1.58902502453068e-06,0.026619153208986134,0.05323671739294773,4.014014014014014,0.026619153208986134
701,0.05997799103171647,5.848141197738626e-15,1.4303583593201716e-06,0.026088399234563967,0.052175368110768616,4.034034034034034,0.026088399234563967
702,0.05967526205709747,4.230315158683545e-15,1.2869136795811636e-06,0.025565666041772704,0.05113004516986583,4.054054054054054,0.025565666041772704
703,0.05937257375077219,3.0551415339661184e-15,1.1572957351118592e-06,0.025050896619582104,0.050100635943429096,4.074074074074074,0.025050896619582104
704,0.05906994103254102,2.202894416823412e-15,1.0402305500085462e-06,0.024544032732407198,0.04908702523426439,4.094094094094094,0.024544032732407198
705,0.058767378742175025,1.5858414573245328e-15,9.345555317469243e-07,0.02404501496786742,0.0480890953802031,4.114114114114114,0.02404501496786742
706,0.058464901638340845,1.139802457207673e-15,8.392103252452808e-07,0.023553782784165516,0.047106726358005786,4.134134134134134,0.023553782784165516
707,0.05816252439754096,8.179055360196499e-16,7.532283614467345e-07,0.02307027455706539,0.04613979588576933,4.1541541541541545,0.02307027455706539
708,0.05786026161306995,5.859768294237648e-16,6.757290528759493e-07,0.02259442762644936,0.04518817952384585,4.1741741741741745,0.02259442762644936
709,0.057558127793986336,4.1914228475166375e-16,6.059105914183988e-07,0.022126178342435614,0.04425175077427981,4.1941941941941945,0.022126178342435614
710,0.05725613736410032,2.993272434717116e-16,5.430433062390598e-07,0.021665462111037398,0.04333038117876856,4.2142142142142145,0.021665462111037398
711,0.056954304660977485,2.1341982186636625e-16,4.864635423042886e-07,0.021212213439346355,0.04242394041515041,4.2342342342342345,0.021212213439346355
712,0.056652643934958495,1.5192421356923552e-16,4.3556802239791866e-07,0.020766365980222915,0.04153229639242343,4.2542542542542545,0.020766365980222915
713,0.056351169348194736,1.0797494158074446e-16,3.898086578327365e-07,0.02032785257647736,0.04065531534429689,4.2742742742742745,0.02032785257647736
714,0.05604989497370022,7.661656826387638e-17,3.4868777525448275e-07,0.01989660530452611,0.03979286192127697,4.2942942942942945,0.01989660530452611
715,0.05574883479441954,5.4278289169488783e-17,3.1175372902019914e-07,0.01947255551750814,0.03894479928128726,4.314314314314315,0.01947255551750814
716,0.055448002702312114,3.839134630932851e-17,2.785968706095149e-07,0.019055633887847288,0.03811098917882396,4.334334334334335,0.019055633887847288
717,0.05514741249745264,2.7110920974009415e-17,2.488458483995132e-07,0.018645770449247027,0.037291292052645655,4.354354354354355,0.018645770449247027
718,0.05484707788714798,1.9114323718165868e-17,2.2216421290471153e-07,0.018242894638104704,0.036485567111996506,4.374374374374375,0.018242894638104704
719,0.05454701248507026,1.3454802887032222e-17,1.9824730425695814e-07,0.01784693533433303,0.03569367242136181,4.394394394394395,0.01784693533433303
720,0.05424722981040649,9.455826164430783e-18,1.7681940027922921e-07,0.01745782090157741,0.034915464983754536,4.414414414414415,0.01745782090157741
721,0.05394774328702461,6.634762118735142e-18,1.576311049961428e-07,0.017075479226818135,0.034150800822531274,4.434434434434435,0.017075479226818135
722,0.053648566242655946,4.6478806784484796e-18,1.4045695882605782e-07,0.016699837759347348,0.03339953506173587,4.454454454454455,0.016699837759347348
723,0.05334971190809425,3.2507855531646003e-18,1.2509325301857777e-07,0.0163308235491111,0.03266152200496918,4.474474474474475,0.0163308235491111
724,0.05305119341641127,2.2699976566169616e-18,1.113560321407702e-07,0.01596836328440778,0.031936615212783424,4.494494494494495,0.01596836328440778
725,0.05275302380218887,1.582582043179544e-18,9.907926957898926e-08,0.015612383328934512,0.031224667578599444,4.514514514514515,0.015612383328934512
726,0.05245521600076769,1.1015666914718869e-18,8.811320211442639e-08,0.015262809758173958,0.030525531403145803,4.534534534534535,0.015262809758173958
727,0.052157782847512525,7.655244996876893e-19,7.832281065286531e-08,0.01491956839511462,0.029839058467418585,4.554554554554555,0.01491956839511462
728,0.05186073707709423,5.31142593863829e-19,6.958643514599047e-08,0.014582584845298077,0.02916510010416101,4.574574574574575,0.014582584845298077
729,0.05156409132278833,3.679314423585153e-19,6.179451263631964e-08,0.014251784531187622,0.028503507267862608,4.594594594594595,0.014251784531187622
730,0.05126785811579019,2.5446403696004805e-19,5.48484281936272e-08,0.013927092725852913,0.02785413060327763,4.614614614614615,0.013927092725852913
731,0.05097204988454698,1.7570724108484384e-19,4.86594692907439e-08,0.01360843458596625,0.02721682051246321,4.634634634634635,0.01360843458596625
732,0.05067667895410618,1.2113137398599237e-19,4.31478748938959e-08,0.013295735184106375,0.02659142722033786,4.654654654654655,0.013295735184106375
733,0.05038175754548078,8.337337152747432e-20,3.8241971220223e-08,0.012988919540366376,0.02597780083876153,4.674674674674675,0.012988919540366376
734,0.05008729777503118,5.729303410263772e-20,3.387738674563025e-08,0.0126879126532629,0.025375791429139052,4.694694694694695,0.0126879126532629
735,0.04979331165386371,3.930791578015087e-20,2.999633963239276e-08,0.012392639529944325,0.02478524906354902,4.714714714714715,0.012392639529944325
736,0.04949981108724585,2.6925386661408422e-20,2.6546991290584562e-08,0.012103025215696074,0.024206023884400858,4.734734734734735,0.012103025215696074
737,0.04920680787403801,1.8413977896559972e-20,2.348286029292974e-08,0.011818994822741926,0.02363796616262356,4.754754754754755,0.011818994822741926
738,0.048914313706141986,1.2572945219158319e-20,2.076229133149078e-08,0.011540473558340484,0.023080926354389634,4.774774774774775,0.011540473558340484
739,0.04862234016796612,8.57097377218844e-21,1.8347974338993728e-08,0.011267386752176697,0.022534755156379052,4.794794794794795,0.011267386752176697
740,0.04833089873590687,5.833471036907856e-21,1.620650929973508e-08,0.010999659883048603,0.02199930355958791,4.814814814814815,0.010999659883048603
741,0.048040000777847064,3.963945390321134e-21,1.4308012646989843e-08,0.010737218604850081,0.021474422901687516,4.834834834834835,0.010737218604850081
742,0.04774965755267077,2.6892551969396247e-21,1.2625761487624516e-08,0.010479988771850905,0.020959964917940322,4.854854854854855,0.010479988771850905
743,0.04745988020979457,1.8215458502659352e-21,1.1135872212078764e-08,0.010227896463275665,0.02045578179067912,4.874874874874875,0.010227896463275665
744,0.047170679788715336,1.2318332859315593e-21,9.81701034079197e-09,0.00998086800718375,0.01996172619735716,4.894894894894895,0.00998086800718375
745,0.04688206721857461,8.317015291912703e-22,8.650128728190397e-09,0.009738830003652985,0.01947765135717724,4.914914914914915,0.009738830003652985
746,0.0465940533177392,5.60643513442014e-22,7.618231494101711e-09,0.009501709347269804,0.019003411076308114,4.934934934934935,0.009501709347269804
747,0.0463066487933984,3.773200128912879e-22,6.706161281417875e-09,0.009269433248929463,0.018538859791697646,4.954954954954955,0.009269433248929463
748,0.04601986424117734,2.5353423822883434e-22,5.900407649394585e-09,0.009041929256949986,0.018083852613492324,4.974974974974975,0.009041929256949986
749,0.04573371014476682,1.7008543662072241e-22,5.188934605474429e-09,0.008819125277504088,0.01763824536607357,4.994994994994995,0.008819125277504088
750,0.045448196875569315,1.1392036795041475e-22,4.561025456197957e-09,0.00860094959437356,0.01720189462772166,5.015015015015015,0.00860094959437356
751,0.0451633346923612,7.617971890404313e-23,4.0071433207861605e-09,0.008387330888031045,0.016774657768918767,5.035035035035035,0.008387330888031045
752,0.04487913374097121,5.086055437412571e-23,3.518805800432826e-09,0.008178198254054444,0.016356392989303085,5.055055055055055,0.008178198254054444
753,0.04459560405397492,3.390209608584619e-23,3.0884724332581317e-09,0.00797348122087952,0.01594695935328661,5.075075075075075,0.00797348122087952
754,0.04431275555040535,2.2561904064446745e-23,2.7094436902023613e-09,0.00777310976689663,0.01554621682434957,5.095095095095095,0.00777310976689663
